Product Name,Price
 Samsung Galaxy A50 ,"14,999"
 Samsung Galaxy M30s ,"12,999"
 Samsung Galaxy A30 ,"12,999"
 Samsung Galaxy M30 ,"11,999"
 Samsung Galaxy A10 ,"7,990"
 Samsung Galaxy A70 ,"21,900"
 Samsung Galaxy A51 ,"23,999"
 Samsung Galaxy A50S ,"17,499"
 Samsung Galaxy M40 ,"16,990"
 Samsung Galaxy A20 ,"10,991"
 Samsung Galaxy A30s ,"14,478"
 Samsung Galaxy A30s 128GB ,"15,999"
 Samsung Galaxy Note 10 Lite ,"38,999"
 Samsung Galaxy S10 Lite ,"39,999"
 Samsung Galaxy S20 5G ,"66,999"
 Samsung Galaxy S20 Plus ,"73,999"
 Samsung Galaxy M60 ,"25,999"
 Samsung Galaxy A8s ,"29,999"
 Samsung Galaxy S10 ,"54,900"
 Samsung Galaxy S10 Plus ,"60,100"
 Samsung Galaxy S9 Plus ,"29,999"
 Samsung Galaxy M20 ,"9,999"
 Samsung Galaxy A70s ,"25,999"
 Samsung Galaxy A20s ,"10,999"
 Samsung Galaxy Note 10 Plus ,"79,999"
 Samsung Galaxy M10 ,"7,990"
 Samsung Galaxy S8 ,"36,490"
 Samsung Galaxy A80 ,"28,499"
 Samsung Galaxy Note 10 ,"69,999"
 Samsung Galaxy J7 Max ,"11,046"
 Samsung Galaxy J6 ,"10,490"
 Samsung Galaxy J7 Pro ,"16,900"
 Samsung Galaxy J8 ,"13,130"
 Samsung Galaxy Note 9 ,"33,999"
 Samsung Galaxy S9 ,"26,999"
 Samsung Galaxy A8 Star ,"20,700"
 Samsung Galaxy M10s ,"8,999"
 Samsung Galaxy Note 8 ,"49,999"
 Samsung Galaxy A2 Core ,"5,290"
 Samsung Galaxy S10E ,"47,990"
 Samsung Galaxy J4 Plus ,"9,499"
 Samsung Metro 313 ,"1,990"
 Samsung Galaxy A7 (2018) ,"14,099"
 Samsung Galaxy A9 Pro ,"16,399"
 Samsung Galaxy A9 (2018) ,"21,999"
 Samsung Galaxy J7 Prime ,"15,995"
 Samsung Guru 1200 ,"1,100"
 Samsung Guru Music 2 ,"1,450"
